id,name,series_id/id
__setup__.product_reporting_system_industrial_performance_ml400_series_ml450g_52,ML450G-52,__setup__.product_reporting_series_industrial_performance_ml400_series
__setup__.product_reporting_system_industrial_performance_ml400_series_ml450g_53,ML450G-53,__setup__.product_reporting_series_industrial_performance_ml400_series
__setup__.product_reporting_system_industrial_performance_ml500_series_ml500_other_,ML500 (Other),__setup__.product_reporting_series_industrial_performance_ml500_series
__setup__.product_reporting_system_industrial_performance_ml500_series_ml500g_30,ML500G-30,__setup__.product_reporting_series_industrial_performance_ml500_series
__setup__.product_reporting_system_industrial_performance_ml500_series_ml500g_50,ML500G-50,__setup__.product_reporting_series_industrial_performance_ml500_series
__setup__.product_reporting_system_industrial_performance_ml500_series_ml500g_51,ML500G-51,__setup__.product_reporting_series_industrial_performance_ml500_series
__setup__.product_reporting_system_industrial_performance_ml500_series_ml510g_50,ML510G-50,__setup__.product_reporting_series_industrial_performance_ml500_series
__setup__.product_reporting_system_industrial_performance_ml500_series_ml510g_50_grl500_,ML510G-50 (GRL500),__setup__.product_reporting_series_industrial_performance_ml500_series
__setup__.product_reporting_system_industrial_performance_ml600_series_ml600g_10,ML600G-10,__setup__.product_reporting_series_industrial_performance_ml600_series
__setup__.product_reporting_system_industrial_performance_ml600_series_ml600g_30,ML600G-30,__setup__.product_reporting_series_industrial_performance_ml600_series
__setup__.product_reporting_system_industrial_performance_ml600_series_ml600g_50,ML600G-50,__setup__.product_reporting_series_industrial_performance_ml600_series
__setup__.product_reporting_system_industrial_performance_ml600_series_ml600g_51,ML600G-51,__setup__.product_reporting_series_industrial_performance_ml600_series
__setup__.product_reporting_system_industrial_performance_ml600_series_ml600g_52,ML600G-52,__setup__.product_reporting_series_industrial_performance_ml600_series
__setup__.product_reporting_system_industrial_performance_ml600_series_ml600g_53,ML600G-53,__setup__.product_reporting_series_industrial_performance_ml600_series
__setup__.product_reporting_system_industrial_small_form_factor_cl100_series_cl100,CL100,__setup__.product_reporting_series_industrial_small_form_factor_cl100_series
__setup__.product_reporting_system_industrial_small_form_factor_cl100_series_cl100_tm700_,CL100 (TM700),__setup__.product_reporting_series_industrial_small_form_factor_cl100_series
__setup__.product_reporting_system_industrial_small_form_factor_cl200_series_cl200g_10,CL200G-10,__setup__.product_reporting_series_industrial_small_form_factor_cl200_series
__setup__.product_reporting_system_industrial_small_form_factor_cl200_series_cl200g_10_other_,CL200G-10 (Other),__setup__.product_reporting_series_industrial_small_form_factor_cl200_series
__setup__.product_reporting_system_industrial_small_form_factor_cl200_series_cl200g_11,CL200G-11,__setup__.product_reporting_series_industrial_small_form_factor_cl200_series
__setup__.product_reporting_system_industrial_small_form_factor_cl200_series_cl210g_10,CL210G-10,__setup__.product_reporting_series_industrial_small_form_factor_cl200_series
__setup__.product_reporting_system_industrial_small_form_factor_cl200_series_cl210g_10_igl200_,CL210G-10 (IGL200),__setup__.product_reporting_series_industrial_small_form_factor_cl200_series
__setup__.product_reporting_system_industrial_small_form_factor_cl200_series_cl210g_10_ign600_,CL210G-10 (IGN600),__setup__.product_reporting_series_industrial_small_form_factor_cl200_series
__setup__.product_reporting_system_industrial_small_form_factor_cl200_series_cl210g_10_other_,CL210G-10 (Other),__setup__.product_reporting_series_industrial_small_form_factor_cl200_series
__setup__.product_reporting_system_industrial_small_form_factor_cl200_series_cl210g_10_tm110_,CL210G-10 (TM110),__setup__.product_reporting_series_industrial_small_form_factor_cl200_series
__setup__.product_reporting_system_industrial_small_form_factor_cl200_series_cl210g_11,CL210G-11,__setup__.product_reporting_series_industrial_small_form_factor_cl200_series
__setup__.product_reporting_system_industrial_small_form_factor_cl200_series_cl210g_11_other_,CL210G-11 (Other),__setup__.product_reporting_series_industrial_small_form_factor_cl200_series
__setup__.product_reporting_system_industrial_small_form_factor_cl200_series_cl250,CL250,__setup__.product_reporting_series_industrial_small_form_factor_cl200_series
__setup__.product_reporting_system_industrial_small_form_factor_cl200_series_cl250_ign610_,CL250 (IGN610),__setup__.product_reporting_series_industrial_small_form_factor_cl200_series
__setup__.product_reporting_system_industrial_small_form_factor_cl200_series_cl250_tm710_,CL250 (TM710),__setup__.product_reporting_series_industrial_small_form_factor_cl200_series
__setup__.product_reporting_system_industrial_small_form_factor_fr200_series_fr201,FR201,__setup__.product_reporting_series_industrial_small_form_factor_fr200_series
__setup__.product_reporting_system_industrial_small_form_factor_fr200_series_fr201_ign800_,FR201 (IGN800),__setup__.product_reporting_series_industrial_small_form_factor_fr200_series
__setup__.product_reporting_system_industrial_small_form_factor_fr200_series_fr202,FR202,__setup__.product_reporting_series_industrial_small_form_factor_fr200_series
__setup__.product_reporting_system_industrial_small_form_factor_fr200_series_fr202_ign802_,FR202 (IGN802),__setup__.product_reporting_series_industrial_small_form_factor_fr200_series
__setup__.product_reporting_system_panel_cincoze_panel_p1000_series_cs_p1001,CS-P1001,__setup__.product_reporting_series_panel_cincoze_panel_p1000_series
__setup__.product_reporting_system_panel_cincoze_panel_p1000_series_cs_p1101,CS-P1101,__setup__.product_reporting_series_panel_cincoze_panel_p1000_series
__setup__.product_reporting_system_panel_cincoze_panel_p1000_series_cv_p1001,CV-P1001,__setup__.product_reporting_series_panel_cincoze_panel_p1000_series
